GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jabberpoint,com.jabberpoint,JabberPoint,41,0,2,0,12,0,3,0,2,0
jabberpoint,com.jabberpoint,DemoPresentation,0,133,0,0,0,35,0,3,0,3
jabberpoint,com.jabberpoint,KeyController,15,6,4,0,8,3,4,1,1,1
jabberpoint,com.jabberpoint,SlideItemFactory,3,24,0,3,1,4,1,3,1,1
jabberpoint,com.jabberpoint,MenuController,170,0,0,0,35,0,6,0,6,0
jabberpoint,com.jabberpoint,Presentation,64,194,11,19,23,53,15,25,6,19
jabberpoint,com.jabberpoint,SlideViewerFrame.new WindowAdapter() {...},9,0,0,0,3,0,2,0,2,0
jabberpoint,com.jabberpoint,SlideViewerComponent,39,78,2,4,6,23,2,7,0,6
jabberpoint,com.jabberpoint,SlideItem,4,12,0,0,2,5,1,2,1,2
jabberpoint,com.jabberpoint,MenuController.new ActionListener() {...},15,0,0,0,4,0,2,0,2,0
jabberpoint,com.jabberpoint,MenuController.new ActionListener() {...},28,0,0,0,6,0,2,0,2,0
jabberpoint,com.jabberpoint,Slide,0,141,0,8,0,29,0,14,0,10
jabberpoint,com.jabberpoint,MenuController.new ActionListener() {...},37,0,0,0,8,0,2,0,2,0
jabberpoint,com.jabberpoint,MenuController.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
jabberpoint,com.jabberpoint,Style,11,103,0,4,1,19,1,6,1,4
jabberpoint,com.jabberpoint,BitmapItem,46,174,5,11,13,31,4,10,0,6
jabberpoint,com.jabberpoint,MenuController.new ActionListener() {...},20,0,0,0,5,0,2,0,2,0
jabberpoint,com.jabberpoint,MenuController.new ActionListener() {...},12,0,0,0,3,0,2,0,2,0
jabberpoint,com.jabberpoint,MenuController.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
jabberpoint,com.jabberpoint,MenuController.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
jabberpoint,com.jabberpoint,XMLPresentationLoader,20,0,0,0,6,0,3,0,3,0
jabberpoint,com.jabberpoint,Accessor,0,7,0,0,0,3,0,2,0,2
jabberpoint,com.jabberpoint,AboutBox,9,0,0,0,6,0,2,0,2,0
jabberpoint,com.jabberpoint,XMLAccessor,58,381,14,34,13,100,13,17,0,6
jabberpoint,com.jabberpoint,SlideViewerFrame,85,0,2,0,19,0,3,0,2,0
jabberpoint,com.jabberpoint,TextItem,0,256,2,20,0,48,2,17,0,8
jabberpoint,com.jabberpoint,DemoPresentationLoader,19,0,0,0,5,0,3,0,3,0
